Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Bulding Number,Borough,Postcode,Business Address,Latitude,Longitude
sidewalk,Novelty Eats,1765,Bronx,10461,"1765  Crosby Avenue , Bronx, NY",40.846336,-73.831837
sidewalk,Fokkus Room & Cucine,136-138,Bronx,10468,"136-138 West Fordham Rd , Bronx, NY",40.86279,-73.906925
both,5 burro cafe,7205,Queens,11375,"7205 Austin Street , Queens, NY",40.719248,-73.84237
both,Ovelia,3401,Queens,11103,"3401 30th ave, Queens, NY",40.765721,-73.918861
roadway,e's BAR,511,Manhattan,10024,"511  Amsterdam Ave, Manhattan, NY",40.786706,-73.975715
sidewalk,Dar525,525,Brooklyn,11211,"525 Grand st, Brooklyn, NY",40.711053,-73.950183
both,Sangaritas,40-02,Queens,11361,"40-02 Bell BLVD , Queens, NY",40.764153,-73.771278
sidewalk,NAI TAPAS RESTAURANT CORP,85,Manhattan,10003,"85 2nd AVENUE, Manhattan, NY",40.726694,-73.989061
both,Ceci Italian cuisine,46 west,Manhattan,10036,"46 west 46th street, Manhattan, NY",40.756663,-73.980552
sidewalk,Gourmet Fit Kitchen,6819,Brooklyn,11220,"6819  3rd Ave, Brooklyn, NY",40.636263,-74.025819
sidewalk,Pomp and Circumstance Hospitality,577,Brooklyn,11211,"577 Lorimer Street, Brooklyn, NY",40.714264,-73.949416
both,New York City Bagel and Coffee House,29-10,Queens,11106,"29-10 Broadway, Queens, NY",40.762636,-73.926818
sidewalk,Holy Schnitzel,654,Manhattan,10025,"654 Amsterdam Ave, Manhattan, NY",40.791407,-73.972311
both,Brooklyn chop house,150,Manhattan,10038,"150 nassau street, Manhattan, NY",40.711541,-74.006027
both,Monk McGinn's,57,Manhattan,10007,"57 Murray Street , Manhattan, NY",40.71422,-74.009747
sidewalk,Nuevo Don Francisco Restaurant Corp,40-56,Queens,11368,"40-56  Junction Blvd , Queens, NY",40.748051,-73.868768
both,Il Piccolo Bufalo Restaurant,141,Manhattan,10013,"141 Mulberry Street, Manhattan, NY",40.718705,-73.997619
both,Sous Vide Kitchen,119,Manhattan,10010,"119  23 Street , Manhattan, NY",,
both,jaya 888,90,Manhattan,10013,"90 baxter street, Manhattan, NY",40.71685,-73.999755
roadway,CITROEN,931,Brooklyn,11222,"931 Manhattan ave, Brooklyn, NY",40.731193,-73.954436
sidewalk,The Original Buddha Bodai,5,Manhattan,10013,"5 Mott Street, Manhattan, NY",40.713882,-73.998709
both,White Oak Tavern,21,Manhattan,10003,"21  Waverly Place, Manhattan, NY",40.730258,-73.994613
both,Fitzgerald's Pub,336,Manhattan,10010,"336 3rd Avenue, Manhattan, NY",40.739973,-73.982329
sidewalk,Black Forest Brooklyn - Smith Street,181,Brooklyn,11201,"181 Smith Street, Brooklyn, NY",40.685688,-73.991159
roadway,Jeremy's Ale House,228,Manhattan,10038,"228 Front st, Manhattan, NY",40.70755,-74.002106
sidewalk,Vinny's Lunchbox,171,Brooklyn,11223,"171  Ave U, Brooklyn, NY",40.59647,-73.977912
both,Rusty Nail,1701,Brooklyn,11230,"1701  Foster Corp, Brooklyn, NY",,
sidewalk,Veggie Grill,12,Manhattan,10010,"12 West 23rd street , Manhattan, NY",40.741846,-73.9903
both,Excuse My French,96,Manhattan,10002,"96 Orchard, Manhattan, NY",,
sidewalk,ChikaLicious Dessert Bar,201,Manhattan,10003,"201 East Tenth street, Manhattan, NY",40.729634,-73.986448
sidewalk,Mahzedahr Bakery,28,Manhattan,10011,"28  Greenwich Avenue, Manhattan, NY",40.735072,-74.000198
sidewalk,Sac's Place,35-11,Queens,11106,"35-11 35th avenue, Queens, NY",40.756553,-73.925121
both,Arco Cafe,886,Manhattan,10025,"886  Amsterdam Ave, Manhattan, NY",40.798751,-73.966956
roadway,Las Ramblas,170,Manhattan,10014,"170 West 4 street, Manhattan, NY",40.732105,-74.001479
both,Dar525,168,Brooklyn,11222,"168 Driggs ave , Brooklyn, NY",40.722993,-73.945188
sidewalk,Empellon Taqueria,230,Manhattan,10014,"230  West 4th Street, Manhattan, NY",40.734119,-74.002941
both,Mottley Kitchen,402,Bronx,10454,"402 East 140th Street, Bronx, NY",40.810158,-73.921383
both,Tomi Jazz,239,Manhattan,10022,"239 East 53rd Street, Manhattan, NY",40.757314,-73.968445
sidewalk,B R Restaurant Corp,158-22,Queens,11414,"158-22  Crossbay Blvd, Queens, NY",40.660333,-73.84017
sidewalk,gran caffe de martini,609,Brooklyn,11211,"609  vanderbilt ave, Brooklyn, NY",40.679102,-73.968331
sidewalk,jacks stir brew coffee,10,Manhattan,10014,"10  10 downing street, Manhattan, NY",,
sidewalk,Zum Stammtisch inc.,69-46,Queens,11385,"69-46  myrtle ave, Queens, NY",40.701876,-73.881597
both,LES Enfants de Bohème,177,Manhattan,10002,"177 Henry Street  (aka 16-18 Jefferson Street), Manhattan, NY",40.7135,-73.988829
roadway,G.V.S BAKERY,36-21,Queens,11105,"36-21  Ditmars Blvd, Queens, NY",40.774216,-73.907976
sidewalk,IHOP,1019,Brooklyn,11224,"1019 Surf Avenue, Brooklyn, NY",40.575483,-73.978481
sidewalk,773 Lounge,773,Brooklyn,11228,"773  Coney Island avenue, Brooklyn, NY",40.638361,-73.96852
roadway,NOVITA,102,Manhattan,10010,"102 East 22nd Street, Manhattan, NY",40.739279,-73.986291
sidewalk,Pepper Jack Grill,316,Staten Island,10314,"316 Manor Road, Staten Island, NY",40.620343,-74.12359
sidewalk,Jack’s Fire Department,3946,Queens,11104,"3946  Skillman Avenue, Queens, NY",40.747278,-73.924207
both,Aksaray Turkish Cafe & Restaurant,1618,Brooklyn,11229,"1618 East 16th street, Brooklyn, NY",40.61004,-73.957588
sidewalk,Empellon Al Pastor,132,Manhattan,10009,"132 St. Marks Place, Manhattan, NY",40.727196,-73.98437
both,Otway,930,Brooklyn,11238,"930 Fulton street, Brooklyn, NY",40.682833,-73.963833
both,Pappadella,316,Manhattan,10023,"316 Columbus Ave , Manhattan, NY",40.779227,-73.97748
both,Mama Raos pizzeria restaurant,6410,Brooklyn,11219,"6410 11 th ave , Brooklyn, NY",,
roadway,La Cigogne,215,Brooklyn,11231,"215 Union Street, Brooklyn, NY",40.683339,-73.999207
both,EIGHTEEN Restaurant,240,Manhattan,10028,"240 East 81 Street, Manhattan, NY",40.77518,-73.955363
roadway,Burrito Loco,166,Manhattan,10014,"166 West 4 street, Manhattan, NY",40.73202,-74.001404
both,En Japanese Brasserie,435,Manhattan,10014,"435 Hudson St, Manhattan, NY",40.730587,-74.006805
sidewalk,Bassett Pickle Works Inc,1404,Brooklyn,11235,"1404  Avenue X, Brooklyn, NY",40.592113,-73.955907
both,Battle Hill Tavern,686,Brooklyn,11215,"686 6th Avenue, Brooklyn, NY",40.660109,-73.991137
sidewalk,MANI IN PASTA GRAMERCY,245,Manhattan,10003,"245 EAST 14TH STREET , Manhattan, NY",40.732862,-73.986137
