Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Bulding Number,Borough,Postcode,Business Address,Latitude,Longitude
both,La Boulangerie de Francois,10901,Queens,11375,"10901 72nd Road, Queens, NY",40.719043,-73.841505
sidewalk,MAGDALENE,524,Brooklyn,11211,"524 LORIMER ST., Brooklyn, NY",40.712507,-73.949103
both,Proletariat,102,Manhattan,10009,"102 St Marks Place, Manhattan, NY",40.727375,-73.984796
sidewalk,Cafe Grumpy,383,Brooklyn,11215,"383 7th Ave, Brooklyn, NY",40.665304,-73.982896
sidewalk,La Vela Dining & Bar,558,Manhattan,10036,"558 11th Ave, Manhattan, NY",40.761111,-73.99809
both,Mito Asian Fusion,64-18,Queens,11375,"64-18 108 street, Queens, NY",40.732517,-73.849397
both,Bourke street bakery,15,Manhattan,10016,"15 28th street , Manhattan, NY",,
both,Oceanic Boil,84-20,Queens,11372,"84-20 37th Avenue, Queens, NY",40.749962,-73.882175
sidewalk,HYO DONG GAK,51 WEST,Manhattan,10001,"51 WEST 35TH STREET, Manhattan, NY",40.749854,-73.985845
sidewalk,Antico Noè,220,Manhattan,10022,"220 East 53rd Street, Manhattan, NY",40.757421,-73.968745
both,La Bella vita,163,Manhattan,10013,"163  Mulberry street , Manhattan, NY",40.719753,-73.997143
both,Sistina Restaurant,24,Manhattan,10028,"24 East 81st Street, Manhattan, NY",40.777804,-73.961583
sidewalk,bodhi kosher vegan restaurant,77,Manhattan,10013,"77 mulberry street, Manhattan, NY",40.716336,-73.999077
roadway,TACUBA CANTINA MEXICANA,35-01,Queens,11106,"35-01 36TH STREET, Queens, NY",40.75602,-73.924681
both,Vesta Trattoria & Wine Bar,2102,Queens,11102,"2102 30th Av, Queens, NY",40.769789,-73.927611
sidewalk,Shellys Cafe,5634,Queens,11378,"5634 66th street, Queens, NY",40.724828,-73.898588
both,Kache Restaurant and Lounge,2192,Brooklyn,11234,"2192  Flatbush Ave, Brooklyn, NY",40.616551,-73.930202
sidewalk,"Maz Mezcal, Inc",316,Manhattan,10028,"316  East 86th Street, Manhattan, NY",40.777602,-73.951123
roadway,Chelsea Ristorante,108,Manhattan,10011,"108 8th ave, Manhattan, NY",40.740682,-74.001833
roadway,Angel of Harlem,2272,Manhattan,10027,"2272  Frederick Douglass Boulevard , Manhattan, NY",,
both,Dan and John's Wings,135,Manhattan,10003,"135 1st Avenue, Manhattan, NY",40.727753,-73.985186
both,Desnuda,122,Manhattan,10009,"122 East 7th Street, Manhattan, NY",40.726312,-73.984179
both,THE WARREN,131,Manhattan,10014,"131  CHRISTOPHER STREET, Manhattan, NY",40.733032,-74.006578
both,Klong,7,Manhattan,10003,"7  Saint marks plc , Manhattan, NY",40.729305,-73.989302
both,Caravaggio Restaurant,23,Manhattan,10021,"23 East 74th Street, Manhattan, NY",40.773309,-73.96495
both,Piccola cucina Estiatorio,75,Manhattan,10012,"75  Thompson St, Manhattan, NY",40.724507,-74.002948
sidewalk,Cafe Colonial Restaurant,2072,Bronx,10462,"2072 White Plains Road, Bronx, NY",40.852646,-73.867751
sidewalk,Shenanigans pub,802,Brooklyn,11218,"802 Caton ave, Brooklyn, NY",40.647736,-73.9728
sidewalk,Mont Blanc 52,344 346 W,Manhattan,10019,"344 346 W 52ND ST, Manhattan, NY",,
sidewalk,Cafe Grumpy,193,Brooklyn,11222,"193 Meserole Ave., Brooklyn, NY",40.728451,-73.948622
both,Turkuaz Restaurant,310 West,Manhattan,10019,"310 West 53rd Street, Manhattan, NY",40.764429,-73.985369
both,Neirs Tavern,8748,Queens,11421,"8748  78th Street, Queens, NY",40.690246,-73.86348
sidewalk,Goodfellas Pizza,1718,Staten Island,10305,"1718 Hylan Blvd, Staten Island, NY",40.586968,-74.09169
both,Tambour,652,Brooklyn,11215,"652 5th Ave, Brooklyn, NY",40.66239,-73.992351
sidewalk,Junzi Kitchen,170,Manhattan,10012,"170 Bleecker street, Manhattan, NY",40.728844,-74.000556
both,LES Crepes,25,Manhattan,10002,"25 Essex Street Front A, Manhattan, NY",40.715425,-73.989831
roadway,Salvatoria kitchen and Bar Corp,3118,Queens,11106,"3118 Broadway , Queens, NY",40.761861,-73.925169
both,Aged steakhouse,107-02,Queens,11375,"107-02  70th road, Queens, NY",40.720789,-73.845744
sidewalk,Cafe Grumpy,20,Manhattan,10004,"20 Stone St., Manhattan, NY",40.704017,-74.012021
both,Chelsea Ristorante Italiano,108,Manhattan,10305,"108 8th ave, Manhattan, NY",40.740682,-74.001833
both,tudor city steakhouse,45,Manhattan,10017,"45 tudor city place , Manhattan, NY",40.749171,-73.970333
sidewalk,The Coppola Cafe,171,Manhattan,10014,"171  West 4th Street, Manhattan, NY",40.732193,-74.001537
both,Alibaba Turkish Cuisine,862,Manhattan,10017,"862 2nd Ave, Manhattan, NY",40.752467,-73.970263
both,Empire Steak House,237,Manhattan,10019,"237 W 54th Street, Manhattan, NY",40.764264,-73.982997
sidewalk,Empanada Loca,606,Brooklyn,11215,"606 5th Ave., Brooklyn, NY",40.66379,-73.99092
both,B.Cafe,240,Manhattan,10021,"240 E 75th Street, Manhattan, NY",40.771279,-73.958211
both,Butcher Bar,37-10,Queens,11103,"37-10 30th Avenue , Queens, NY",40.764553,-73.916419
both,Tataki restaurant,3,Manhattan,10013,"3  Lispenard Street, Manhattan, NY",40.720519,-74.004946
sidewalk,Harlem Hops,2268,Manhattan,10030,"2268 Adam Clayton Powell Junior Blvd, Manhattan, NY",,
both,Coppola's East,378,Manhattan,10016,"378 3rd avenue, Manhattan, NY",40.741543,-73.981181
both,Santa salsa,234,Brooklyn,11234,"234 Starr st, Brooklyn, NY",40.705521,-73.922715
both,American Retro Bar and Grill,714,Manhattan,10019,"714 11th Avenue, Manhattan, NY",40.76626,-73.994339
sidewalk,Cafe Grumpy,177,Manhattan,10012,"177 Mott, Manhattan, NY",,
sidewalk,Brooklyn Blend,194,Brooklyn,11216,"194  Tompkins Avenue, Brooklyn, NY",40.69237,-73.945718
sidewalk,3236 Bainbridge Avenue Food Corp,3236,Bronx,10467,"3236 Bainbridge Avenue , Bronx, NY",40.876395,-73.879648
both,Chazz Palminteri Italian Restaurant,30,Manhattan,10036,"30 W 46th Street, Manhattan, NY",40.756504,-73.980173
both,Death & Co,433,Manhattan,10009,"433  East 6th St, Manhattan, NY",40.726054,-73.985323
sidewalk,Sofia’s taqueria,977,Staten Island,10305,"977 Bay Street , Staten Island, NY",40.6187,-74.069513
sidewalk,Loitas kitchen,1364,Manhattan,10128,"1364  Lexington ave , Manhattan, NY",40.782209,-73.953622
both,EL POLLO ENCHILADO CORP,1869 E,Brooklyn,11223,"1869 E  3RD STREET, Brooklyn, NY",40.604955,-73.970109
sidewalk,Guyers,286,Manhattan,10023,"286 Columbus ave , Manhattan, NY",40.778363,-73.978112
sidewalk,Beets and Carrots,9905,Brooklyn,11209,"9905 3rd Avenue , Brooklyn, NY",40.614132,-74.035038
sidewalk,EL REY DE LOS TACOS CORP,4906,Queens,11377,"4906 43RD AVENUE, Queens, NY",40.744551,-73.91539
both,Leo,318,Brooklyn,11211,"318 Grand Street, Brooklyn, NY",40.712675,-73.956613
sidewalk,Jackbar,143,Brooklyn,11211,"143  Havemeyer St, Brooklyn, NY",40.711896,-73.957342
both,Piccola cucina Osteria,196,Manhattan,10012,"196 Spring street, Manhattan, NY",40.72513,-74.003153
both,Edward's,136,Manhattan,10013,"136 W Broadway, Manhattan, NY",40.716814,-74.008214
both,212 Steakhouse Inc,316,Manhattan,10022,"316  East 53rd Street, Manhattan, NY",40.75649,-73.966533
both,ESTRELLA DO NORTE RESTAURANTE INC,3802,Queens,11101,"3802 29th Street, Queens, NY",40.754431,-73.933721
sidewalk,Sottocasa Pizzeria,298,Brooklyn,11201,"298 Atlantic Avenue, Brooklyn, NY",40.688416,-73.988678
both,Casa Del Chef,39-06 1/2,Queens,11377,"39-06 1/2 64 street, Queens, NY",40.746241,-73.899931
sidewalk,McQuaid’s Public House,589,Manhattan,10036,"589 11th Avenue, Manhattan, NY",40.762226,-73.997325
both,Angaar,283,Manhattan,10023,"283 Columbus Ave, Manhattan, NY",40.778278,-73.978148
both,Union Pizza Works,423,Brooklyn,11237,"423 Troutman st, Brooklyn, NY",40.707153,-73.922291
both,fuel,112,Manhattan,10018,"112  west 38 st , Manhattan, NY",40.752583,-73.986595
both,La Barista,29-10,Queens,11102,"29-10 30th Ave, Queens, NY",40.76775,-73.923238
both,Bar Restaurant La Ruana Paisa,9203,Queens,11372,"9203 37th Avenue , Queens, NY",40.750751,-73.874862
sidewalk,Dillingers Pub & Grill,4619,Queens,11103,"4619 30th Avenue , Queens, NY",40.761543,-73.909965
sidewalk,La Mitad Del Mundo Bar  Restaurant Corp,104-10,Queens,11368,"104-10 Roosevelt Ave, Queens, NY",40.749989,-73.861408
sidewalk,Angelo's &Al's Pizzeria,68 22,Queens,11365,"68 22  fresh meadow lane , Queens, NY",40.733308,-73.794575
sidewalk,ARIS SPORTS BAR RESTAURANT,4514,Brooklyn,11220,"4514 45 STREET , Brooklyn, NY",,
sidewalk,Wasan Brooklyn,440,Brooklyn,11217,"440 Bergen Street, Brooklyn, NY",40.681338,-73.976662
both,The Skinny Bar & Lounge,174,Manhattan,10002,"174 Orchard St., Manhattan, NY",40.721688,-73.988391
both,TANINO'S BRICK OVEN PIZZERIA & RESTAURANT CORP.,84,Brooklyn,11209,"84 3RD AVENUE, Brooklyn, NY",40.683897,-73.98168
sidewalk,El Super Chivito,84-02,Queens,11372,"84-02 37th Avenue, Queens, NY",40.749949,-73.882295
both,Beer Run,203,Manhattan,10011,"203 West 19th, Manhattan, NY",,
both,STK,28,Manhattan,10014,"28 Little West 12th Street, Manhattan, NY",40.740026,-74.007311
sidewalk,314,1260,Manhattan,10027,"1260 Amsterdam Avenue, Manhattan, NY",40.810726,-73.958211
sidewalk,Vera Thai Restaurant,4301,Queens,11104,"4301 Queens Blvd , Queens, NY",40.743474,-73.921339
sidewalk,Dakota Bar,53,Manhattan,10023,"53 72 Nd street, Manhattan, NY",,
sidewalk,New Saany Corp,325,Manhattan,10016,"325  5TH Avenue, Manhattan, NY",40.747428,-73.985282
both,The Montrose,47,Brooklyn,11217,"47 5th Ave, Brooklyn, NY",40.681388,-73.977077
both,Ruchi Indian Cuisine,120,Manhattan,10006,"120  Cedar , Manhattan, NY",,
both,Friends Tavern,78-11,Queens,11372,"78-11  Roosevelt Ave, Queens, NY",40.747275,-73.887442
both,Da Umberto,107,Manhattan,10011,"107  West 17, Manhattan, NY",,
both,Flats fix,30,Manhattan,10003,"30 East 16th st, Manhattan, NY",40.73704,-73.991986
sidewalk,Panchitas Place,709,Brooklyn,11215,"709 5th Ave, Brooklyn, NY",40.6607,-73.994082
both,Martha’s Country Bakery,175,Brooklyn,11211,"175  Bedford Avenue , Brooklyn, NY",40.718104,-73.957421
sidewalk,AK CAFE OF NEW YORK LLC,208,Manhattan,10016,"208  East 34th street, Manhattan, NY",40.745557,-73.977747
both,Lucky 13 Saloon,644,Brooklyn,11217,"644 Sackett St, Brooklyn, NY",40.67843,-73.983614
sidewalk,TabeTomo,131,Manhattan,10009,"131 Avenue A, Manhattan, NY",40.72682,-73.982992
sidewalk,MaLaLa Chinese,42-04,Queens,11103,"42-04  4202 30th avenue, Queens, NY",,
both,ESTRELLA DO NORTE RESTAURANTE INC,3802,Queens,11101,"3802 29th street, Queens, NY",40.754431,-73.933721
both,SUITE/ROTIROLL,992-994,Manhattan,10025,"992-994  AMSTERDAM AVE, Manhattan, NY",40.802466,-73.964245
both,Dokébi Bar and Grill,199,Brooklyn,11211,"199 Grand st, Brooklyn, NY",40.714161,-73.960443
sidewalk,Meme's Healthy Nibbles,707,Brooklyn,11216,"707  Nostrand Avenue, Brooklyn, NY",40.673046,-73.95019
sidewalk,Bagel Boss,263,Manhattan,10003,"263 First avenue, Manhattan, NY",40.732178,-73.981836
sidewalk,Tequila Chitos Mexican Bar & Grill,358,Manhattan,10011,"358 W 23rd Street, Manhattan, NY",40.745963,-74.000094
both,Okinii sushi,216,Manhattan,10012,"216 Thompson street , Manhattan, NY",40.729028,-73.999152
both,Malaparte,753,Manhattan,10014,"753 Washington Street, Manhattan, NY",40.736842,-74.008249
sidewalk,Medusa Greek Taverna,133,Brooklyn,11217,"133 5th Avenue, Brooklyn, NY",40.678602,-73.978967
both,Tava turkish and mediterranean restaurant,318,Brooklyn,11215,"318 5th Avenue , Brooklyn, NY",40.673031,-73.9831
roadway,DIWINE,4115,Queens,11103,"4115 31ST AVE, Queens, NY",40.760858,-73.916088
both,El Kallejon,209,Manhattan,10035,"209 E. 117th Street, Manhattan, NY",40.798437,-73.939051
sidewalk,Cafe Rakka,81,Manhattan,10003,"81 St. Marks place, Manhattan, NY",40.727784,-73.98572
both,alice's tea cup,102,Manhattan,10023,"102 west 73rd street, Manhattan, NY",40.778286,-73.978766
both,AUGUST LAURA,94-96,Manhattan,10009,"94-96 AVENUE A, Manhattan, NY",40.725555,-73.983887
both,"UNICO ""TASTE OF SICILY""",156,Manhattan,10012,"156 156 SULLIVAN STREET, Manhattan, NY",,
both,East Harlem Bottling Co,1711,Manhattan,10029,"1711 Lexington Ave, Manhattan, NY",40.79305,-73.94568
both,Arturo’s,1617,Manhattan,10028,"1617 York AVE, Manhattan, NY",40.77546,-73.947477
roadway,Fiat cafe,203,Manhattan,10012,"203 Mott, Manhattan, NY",,
both,alice's tea cup,156,Manhattan,10065,"156 east 64th street, Manhattan, NY",40.765207,-73.965568
both,Sunflower Cafe,335,Manhattan,10010,"335  3rd Avenue , Manhattan, NY",40.739923,-73.982343
sidewalk,Millie’s Cuban cafe,151,Brooklyn,11237,"151 Wilson Ave, Brooklyn, NY",40.700337,-73.925061
sidewalk,20 7TH AVE LLC,20,Manhattan,10014,"20 7th Ave South, Manhattan, NY",40.730148,-74.004795
both,Raclette,511,Manhattan,10009,"511 East 12th Street, Manhattan, NY",40.728878,-73.980805
sidewalk,BAR MOGA,128,Manhattan,10012,"128 W HOUSTON ST, Manhattan, NY",40.727612,-74.00127
both,Queens Bully,11330,Queens,11375,"11330 QUEENS BOULEVARD, Queens, NY",40.717517,-73.835524
both,alice's tea cup,43,Brooklyn,11201,"43 hicks street, Brooklyn, NY",40.700383,-73.993397
sidewalk,The Inkan Restaurant,4502,Queens,11101,"4502  23rd street, Queens, NY",40.746776,-73.945371
both,Dokébi bar and grill,178,Brooklyn,11211,"178 North 1st street, Brooklyn, NY",40.714507,-73.960133
sidewalk,Cafe Himalaya,78 East,Manhattan,10009,"78 East  1st street, Manhattan, NY",40.723167,-73.988192
both,Romanian Garden,43-06,Queens,11104,"43-06  43 Ave, Queens, NY",40.745195,-73.920954
sidewalk,ROKC,3452,Manhattan,10031,"3452 Broadway, Manhattan, NY",40.823681,-73.952444
sidewalk,VI Pizza,43-02,Queens,11361,"43-02 Bell Boulevard, Queens, NY",40.76126,-73.769863
sidewalk,LaMarca Pasta Restaurant,161,Manhattan,10010,"161  East 22nd Street, Manhattan, NY",40.738538,-73.984494
both,Bombay Chowk Indian cuisine,1378,Manhattan,10021,"1378 1st Avenue , Manhattan, NY",40.768846,-73.955227
both,San Genarro Ristorante,2329,Bronx,10458,"2329 Arthur Avenue, Bronx, NY",40.854101,-73.88883
both,SWEET BASIL THAI RESTAURANT,39-28,Queens,11377,"39-28 61ST ST, Queens, NY",40.746463,-73.903013
both,bar tabac,128,Brooklyn,11201,"128 smith street, Brooklyn, NY",40.687274,-73.990109
both,Napoli pizza & pasta,33 02,Queens,11106,"33 02  33rd st , Queens, NY",40.759413,-73.925269
both,Clinton Hall,601,Bronx,10458,"601 E 189th Street, Bronx, NY",40.857329,-73.885907
roadway,The anchored inn,57,Brooklyn,11206,"57  Waterbury st , Brooklyn, NY",40.709221,-73.93708
both,PEPEROSSO TO GO,149,Manhattan,10012,"149  SULLIVAN, Manhattan, NY",,
sidewalk,SVL SOUVLAKI BAR,30-18 B,Queens,11102,"30-18 B Astoria Blvd, Queens, NY",40.770231,-73.918748
sidewalk,Charlies Bar & Kitchen,112,Bronx,10454,"112 Lincoln Ave, Bronx, NY",40.807896,-73.929394
both,BUBBA'S BISTRO,31-13A,Queens,11105,"31-13A DITMARS BLVD., Queens, NY",40.775766,-73.910155
both,Mojitos Restaurant Bar,8101,Queens,11372,"8101 Northern Blvd, Queens, NY",40.755483,-73.886161
both,Rosie Dunns,729,Manhattan,10017,"729 Third Avenue, Manhattan, NY",40.752978,-73.972825
both,Hollywood Diner,574,Manhattan,10011,"574 6th ave of America, Manhattan, NY",,
both,Noodies Thai Kitchen,830,Manhattan,10019,"830 9th Ave, Manhattan, NY",40.766301,-73.986881
sidewalk,La Cocina Boricua,2245B,Bronx,10462,"2245B Westchester Ave., Bronx, NY",40.834332,-73.850485
sidewalk,Uncle Peter's Bar & Grill inc.,8315,Queens,11372,"8315 Northern Boulevard, Queens, NY",40.75569,-73.884208
both,Cka Ka Qellu,2321,Bronx,10458,"2321 Hughes Ave, Bronx, NY",40.853815,-73.888039
roadway,Baltimore restaurant inc,1606,Manhattan,10028,"1606 First ave, Manhattan, NY",40.775217,-73.950576
both,Stout NYC,133,Manhattan,10001,"133 West 33rd, Manhattan, NY",,
sidewalk,Canas Restaurant and Bar,14407,Queens,11435,"14407 Jamaica Ave, Queens, NY",40.702224,-73.81121
sidewalk,The Long Island Bar,110,Brooklyn,11201,"110 Atlantic Avenue, Brooklyn, NY",40.690815,-73.996466
sidewalk,CLAYPOT NYC,270,Manhattan,10014,"270 BLEECKER ST, Manhattan, NY",40.731413,-74.003121
both,TRIPLE A1 RESTAURANT,2061,Manhattan,10029,"2061  SECOND AVENUE, Manhattan, NY",40.790529,-73.942518
sidewalk,The Royal Palms Shuffleboard Club,514,Brooklyn,11215,"514 Union Street, Brooklyn, NY",40.678902,-73.986898
both,Feile,131,Manhattan,10001,"131 West 33rd Street, Manhattan, NY",40.749569,-73.989277
sidewalk,Rafele Restaurant,29A,Manhattan,10014,"29A 7th Ave S, Manhattan, NY",40.730812,-74.004395
both,Carol Enterprises Inc,1306,Manhattan,10033,"1306 saint nicholas avenue, Manhattan, NY",40.845719,-73.936351
both,The Rockwell Place,31,Brooklyn,11217,"31  Rockwell Place, Brooklyn, NY",40.689062,-73.979389
both,Mama Maria's Restaurant,307,Brooklyn,11231,"307 Court Street, Brooklyn, NY",40.683586,-73.995298
both,Cedar Local,25,Manhattan,10005,"25 Cedar, Manhattan, NY",,
both,Latin Cabana,34-15,Queens,11101,"34-15  Steinway Street , Queens, NY",40.756289,-73.921169
both,C&B,178,Manhattan,10009,"178 E 7th Street, Manhattan, NY",40.725269,-73.981694
both,Massa’s Coal Fired Pizzeria & Bar,42-12,Queens,11101,"42-12  28th street, Queens, NY",40.749628,-73.939175
both,Mama Maria's Restaurant,307,Brooklyn,11231,"307  Court st, Brooklyn, NY",40.683586,-73.995298
both,10802 72nd rest llc,10802,Queens,11375,"10802 72nd ave, Queens, NY",40.719508,-73.842503
both,Sal's Pizzeria,305,Brooklyn,11231,"305 Court street, Brooklyn, NY",40.683638,-73.995273
sidewalk,Kanoyama restaurant,175  2 AV,Manhattan,10003,"175  2 AV 11 street , Manhattan, NY",40.730479,-73.986314
sidewalk,sidewalk tacos,2163,Manhattan,10029,"2163  2nd Ave, Manhattan, NY",40.794002,-73.939983
roadway,Caravan of Dreams,405,Manhattan,10009,"405 East 6th, Manhattan, NY",,
sidewalk,Jimbo's Bar Restaurant,30-05,Queens,11102,"30-05  30-05 Astoria Blvd., Queens, NY",,
both,Red Paper Clip,120,Manhattan,10014,"120 Christopher St, Manhattan, NY",40.73317,-74.005665
sidewalk,Station Bar,39-50,Queens,11377,"39-50 61st Street, Queens, NY",40.745879,-73.903273
sidewalk,Dani's Italian Bistro,7331,Staten Island,10307,"7331 Amboy Road, Staten Island, NY",40.511019,-74.241583
both,Georgian Cuisine,8309,Brooklyn,11209,"8309  3Rd Ave, Brooklyn, NY",40.625549,-74.030196
both,Havana Heights,4083,Manhattan,10032,"4083 Broadway , Manhattan, NY",40.844088,-73.939002
both,THE IZAKAYA,326,Manhattan,10003,"326  East 6th street , Manhattan, NY",40.727057,-73.987748
sidewalk,Pizza Etalia,20,Manhattan,10004,"20 Beaver Street, Manhattan, NY",40.704972,-74.012187
both,Lelabar,422,Manhattan,10014,"422 Hudson, Manhattan, NY",,
both,Basil Brick Oven Pizza,28-17,Queens,11102,"28-17 Astoria Blvd, Queens, NY",40.770652,-73.920227
roadway,Commonwealth,497,Brooklyn,11215,"497 Fifth Avenue, Brooklyn, NY",40.667278,-73.98787
both,Central Restaurant Bar Lounge,20-30,Queens,11105,"20-30 Steinway St, Queens, NY",40.77579,-73.902486
sidewalk,pegasus,8610,Brooklyn,11209,"8610  3rd avenue, Brooklyn, NY",40.623303,-74.031135
both,Montezuma Mexican Restaurant,119,Bronx,10468,"119  West Kingsbridge rd, Bronx, NY",40.868627,-73.902169
roadway,Three Jewels,5,Manhattan,10003,"5 East 3rd st, Manhattan, NY",40.72619,-73.991291
both,Umbertos Clam House,132,Manhattan,10013,"132 Mulberry Street, Manhattan, NY",40.718392,-73.997774
both,Crazy Willy's,117-10,Queens,11418,"117-10  Jamaica Avenue , Queens, NY",40.699578,-73.832359
both,Botte Bar,2507,Queens,11106,"2507 Broadway , Queens, NY",40.76332,-73.928203
sidewalk,Sweet Treats Delight,133-32,Queens,11413,"133-32 226th Street, Queens, NY",40.678066,-73.743507
both,Lunella Ristorante,173,Manhattan,10013,"173 Mulberry Street, Manhattan, NY",40.720165,-73.99698
sidewalk,Tepache,361,Brooklyn,11216,"361 Halsey St, Brooklyn, NY",40.683119,-73.9385
sidewalk,Fushimi,475,Brooklyn,11211,"475  Driggs Ave, Brooklyn, NY",40.718841,-73.954481
sidewalk,Tutt Heights,47,Brooklyn,11201,"47 Hicks street, Brooklyn, NY",40.700271,-73.993451
sidewalk,The Beer Garden,1883,Staten Island,10314,"1883 Victory Blvd , Staten Island, NY",40.612805,-74.126558
sidewalk,BIN 141,43,Manhattan,10009,"43  Avenue A, Manhattan, NY",40.723746,-73.985226
both,PIPPALI,129,Manhattan,10016,"129 EAST 27th STREET, Manhattan, NY",40.74216,-73.983209
sidewalk,Amici Del Caffe Inc.,706,Brooklyn,11223,"706 Avenue U, Brooklyn, NY",40.598,-73.963897
both,Oh taisho,9,Manhattan,10003,"9 Saint marks place , Manhattan, NY",40.729266,-73.989216
sidewalk,"Calcio and Amici, Inc.",1786,Brooklyn,11223,"1786 Stillwell Ave., Brooklyn, NY",40.602872,-73.986438
both,Angelina Bakery,1427,Manhattan,10019,"1427 6th Avenue, Manhattan, NY",40.765138,-73.976618
sidewalk,restaurante & panaderia guatelinda,170 18,Queens,11432,"170 18  Jamaica avenue, Queens, NY",40.707283,-73.78932
both,Giovanni's Brooklyn Eats,1657,Brooklyn,11215,"1657  8th Avenue, Brooklyn, NY",40.660254,-73.983806
sidewalk,ASSNIE RESTAURANT,203,Manhattan,10026,"203  WEST 116TH, Manhattan, NY",,
both,Riverdale Steak House,5700,Bronx,10471,"5700 Riverdale Ave, Bronx, NY",40.906725,-73.904124
sidewalk,LROOM CAFE,41,Manhattan,10011,"41 WEST 14TH STREET, Manhattan, NY",40.736603,-73.995017
both,Il sapore italiano pizzeria,4417,Queens,11363,"4417 Douglaston parkway, Queens, NY",40.766204,-73.74525
both,Park Avenue Tavern,99,Manhattan,10016,"99 Park Avenue, Manhattan, NY",40.750745,-73.978666
both,Heat Caribbean Kitchen and Lounge,100-05,Queens,11418,"100-05 Atlantic Ave , Queens, NY",40.689543,-73.843984
both,Vite vinosteria,31-05,Queens,11106,"31-05 34th street, Queens, NY",40.762775,-73.921414
sidewalk,Abys bar,681,Queens,11385,"681 Seneca ave , Queens, NY",40.703114,-73.908183
both,QED,2716,Queens,11105,"2716 23rd Avenue, Queens, NY",40.775899,-73.915062
roadway,Fiat café,203,Manhattan,10012,"203  Mott, Manhattan, NY",,
sidewalk,inaka asian cuisine,597,Brooklyn,11238,"597 vanderbilt ave, Brooklyn, NY",40.679664,-73.968129
sidewalk,Felfla cafe,6906,Brooklyn,11209,"6906  3rd ave , Brooklyn, NY",40.635574,-74.026114
both,THE LOWERY BAR & KITCHEN,43-02,Queens,11104,"43-02 43rd AVE , Queens, NY",40.745198,-73.92098
both,Sojourn,244,Manhattan,10075,"244 E79th st, Manhattan, NY",40.773836,-73.956259
both,CasaTheodoroPizzeria,5418,Queens,11377,"5418 31st Ave, Queens, NY",40.757006,-73.907112
roadway,simons bar and kitchen,483,Brooklyn,11249,"483 grand st, Brooklyn, NY",40.711007,-73.951907
both,Frangos peri peri,182,Manhattan,10009,"182 Avenue b, Manhattan, NY",40.727717,-73.979298
sidewalk,Enzo's Restaurant,1998,Bronx,10461,"1998 Williamsbridge RD, Bronx, NY",40.853912,-73.854172
both,ai sushi,311,Brooklyn,11211,"311 bedford ave , Brooklyn, NY",40.71336,-73.962013
both,Casa Mono,52,Manhattan,10003,"52 Irving place, Manhattan, NY",40.735963,-73.987316
both,Lupa restaurant,170,Manhattan,10012,"170 Thompson street, Manhattan, NY",40.727675,-74.000292
both,Klassique Bar & Grill,3813,Bronx,10466,"3813  Boston Road, Bronx, NY",40.881469,-73.838225
both,Barzola,9212,Queens,11372,"9212 37th Ave, Queens, NY",40.750742,-73.874793
both,Obao,222,Manhattan,10022,"222 E 53th, Manhattan, NY",,
both,East Village Social,126,Manhattan,10002,"126 ST Marks Pl, Manhattan, NY",40.727232,-73.984453
both,Barzola,3301,Queens,11106,"3301 Broadway, Queens, NY",40.761177,-73.923661
sidewalk,Little Vincent’s pizza,1399,Manhattan,10021,"1399 2nd ave , Manhattan, NY",40.769385,-73.957948
both,Capri restaurant,145,Manhattan,10013,"145 Mulberry street , Manhattan, NY",40.718831,-73.997551
both,Vintage,23-14,Queens,11105,"23-14 Ditmars blvd , Queens, NY",40.779618,-73.915653
both,Purgatory,675,Brooklyn,11207,"675 Central Avenue, Brooklyn, NY",40.68711,-73.905847
both,Flamingo,85-12,Queens,11372,"85-12 Roosevelt Av., Queens, NY",40.747941,-73.880916
sidewalk,Wolfnights,235,Manhattan,10014,"235 Bleecker Street, Manhattan, NY",40.730474,-74.002547
both,Zutto Japanese American Pub,77,Manhattan,10013,"77 Hudson Street, Manhattan, NY",40.718389,-74.008871
sidewalk,Takahachi,85,Manhattan,10009,"85 Avenue A , Manhattan, NY",40.725173,-73.984191
sidewalk,Slide Bar-B-Q,5275,Queens,11378,"5275 65th place, Queens, NY",40.732059,-73.900111
both,eddie jrs sports lounge,40,Brooklyn,11211,"40 marcy, Brooklyn, NY",,
both,The Bean,31,Manhattan,10003,"31 3rd Avenue, Manhattan, NY",40.729807,-73.989692
both,The Bean,771,Manhattan,10003,"771  Broadway, Manhattan, NY",40.731256,-73.99186
both,Addictive Banh Mi Corporation,3264,Queens,11369,"3264 87 street, Queens, NY",40.756881,-73.880882
both,Addictive Wine  Bar Corporation,87-01,Queens,11372,"87-01  Northern Boulevard, Queens, NY",40.756071,-73.880584
both,Zenon Taverna,34-10,Queens,11106,"34-10 31 avenue, Queens, NY",40.76311,-73.920911
sidewalk,Annabell’s Pasteria,717,Brooklyn,11228,"717 86 street, Brooklyn, NY",40.618615,-74.021439
both,Addictive Banh Mi Corporation,3264,Queens,11369,"3264 87 street, Queens, NY",40.756881,-73.880882
both,El Familiar Restaurant,87-81,Queens,11435,"87-81 SUTPHIN Boulevard, Queens, NY",40.705101,-73.809377
sidewalk,Dyker Park Bagels,713,Brooklyn,11228,"713 86 street, Brooklyn, NY",40.618681,-74.021548
sidewalk,The crisis bar,913,Brooklyn,11206,"913 Broadway , Brooklyn, NY",40.697654,-73.936435
